Approved symbol	Approved name	Chromosome	NCBI Gene ID
MIPEPP1	mitochondrial intermediate peptidase pseudogene 1	7q31.1	100533682
MIPEPP2	mitochondrial intermediate peptidase pseudogene 2	1q43	100130099
MIPEPP3	mitochondrial intermediate peptidase pseudogene 3	13q12.11	650794
MIPOL1	mirror-image polydactyly 1	14q13.3-q21.1	145282
MIR1-1	microRNA 1-1	20q13.33	406904
MIR1-1HG	MIR1-1 host gene	20q13.33	128826
MIR1-2	microRNA 1-2	18q11.2	406905
MIR7-1	microRNA 7-1	9q21.32	407043
MIR7-2	microRNA 7-2	15q26.1	407044
MIR7-3	microRNA 7-3	19p13.3	407045
MIR7-3HG	MIR7-3 host gene	19p13.3	284424
MIR9-1	microRNA 9-1	1q22	407046
MIR9-1HG	MIR9-1 host gene	1q22	10485
MIR9-2	microRNA 9-2	5q14.3	407047
MIR9-3	microRNA 9-3	15q26.1	407051
MIR9-3HG	MIR9-3 host gene	15q26.1	254559
MIR10A	microRNA 10a	17q21.32	406902
MIR10B	microRNA 10b	2q31.1	406903
MIR15A	microRNA 15a	13q14.2	406948
MIR15B	microRNA 15b	3q25.33	406949
MIR16-1	microRNA 16-1	13q14.2	406950
MIR16-2	microRNA 16-2	3q25.33	406951
MIR17	microRNA 17	13q31.3	406952
MIR17HG	miR-17-92a-1 cluster host gene	13q31.3	407975
MIR18A	microRNA 18a	13q31.3	406953
MIR18B	microRNA 18b	Xq26.2	574033
MIR19A	microRNA 19a	13q31.3	406979
MIR19B1	microRNA 19b-1	13q31.3	406980
MIR19B2	microRNA 19b-2	Xq26.2	406981
MIR20A	microRNA 20a	13q31.3	406982
MIR20B	microRNA 20b	Xq26.2	574032
MIR21	microRNA 21	17q23.1	406991
MIR22	microRNA 22	17p13.3	407004
MIR22HG	MIR22 host gene	17p13.3	84981
MIR23A	microRNA 23a	19p13.12	407010
MIR23AHG	miR-23a/27a/24-2 cluster host gene	19p13.12	284454
MIR23B	microRNA 23b	9q22.32	407011
MIR23C	microRNA 23c	Xp22.12	100500809
MIR24-1	microRNA 24-1	9q22.32	407012
MIR24-2	microRNA 24-2	19p13.12	407013
MIR25	microRNA 25	7q22.1	407014
MIR26A1	microRNA 26a-1	3p22.2	407015
MIR26A2	microRNA 26a-2	12q14.1	407016
MIR26B	microRNA 26b	2q35	407017
MIR27A	microRNA 27a	19p13.12	407018
MIR27B	microRNA 27b	9q22.32	407019
MIR28	microRNA 28	3q28	407020
MIR29A	microRNA 29a	7q32.3	407021
MIR29B1	microRNA 29b-1	7q32.3	407024
MIR29B2	microRNA 29b-2	1q32.2	407025
MIR29B2CHG	MIR29B2 and MIR29C host gene	1q32.2	100128537
MIR29C	microRNA 29c	1q32.2	407026
MIR30A	microRNA 30a	6q13	407029
MIR30B	microRNA 30b	8q24.22	407030
MIR30C1	microRNA 30c-1	1p34.2	407031
MIR30C2	microRNA 30c-2	6q13	407032
MIR30D	microRNA 30d	8q24.22	407033
MIR30DHG	MIR30D and MIR30B host gene	8q24.22	102723694
MIR30E	microRNA 30e	1p34.2	407034
MIR31	microRNA 31	9p21.3	407035
MIR31HG	MIR31 host gene	9p21.3	554202
MIR32	microRNA 32	9q31.3	407036
MIR33A	microRNA 33a	22q13.2	407039
MIR33B	microRNA 33b	17p11.2	693120
MIR34A	microRNA 34a	1p36.22	407040
MIR34AHG	MIR34A host gene	1p36.22	106614088
MIR34B	microRNA 34b	11q23.1	407041
MIR34BHG	MIR34B and MIR34C host gene	11q23.1	728196
MIR34C	microRNA 34c	11q23.1	407042
MIR92A1	microRNA 92a-1	13q31.3	407048
MIR92A2	microRNA 92a-2	Xq26.2	407049
MIR92B	microRNA 92b	1q22	693235
MIR93	microRNA 93	7q22.1	407050
MIR95	microRNA 95	4p16.1	407052
MIR96	microRNA 96	7q32.2	407053
MIR98	microRNA 98	Xp11.22	407054
MIR99A	microRNA 99a	21q21.1	407055
MIR99AHG	mir-99a-let-7c cluster host gene	21q21.1	388815
MIR99B	microRNA 99b	19q13.41	407056
MIR100	microRNA 100	11q24.1	406892
MIR100HG	mir-100-let-7a-2-mir-125b-1 cluster host gene	11q24.1	399959
MIR101-1	microRNA 101-1	1p31.3	406893
MIR101-2	microRNA 101-2	9p24.1	406894
MIR103A1	microRNA 103a-1	5q34	406895
MIR103A2	microRNA 103a-2	20p13	406896
MIR103B1	microRNA 103b-1	5q34	100302238
MIR103B2	microRNA 103b-2	20p13	100302282
MIR105-1	microRNA 105-1	Xq28	406897
MIR105-2	microRNA 105-2	Xq28	406898
MIR106A	microRNA 106a	Xq26.2	406899
MIR106B	microRNA 106b	7q22.1	406900
MIR107	microRNA 107	10q23.31	406901
MIR122	microRNA 122	18q21.31	406906
MIR122HG	MIR122 host gene	18q21.31	
MIR124-1	microRNA 124-1	8p23.1	406907
MIR124-1HG	MIR124-1 host gene	8p23.1	157627
MIR124-2	microRNA 124-2	8q12.3	406908
MIR124-2HG	MIR124-2 host gene	8q12.3	100130155
MIR124-3	microRNA 124-3	20q13.33	406909
MIR125A	microRNA 125a	19q13.41	406910
MIR125B1	microRNA 125b-1	11q24.1	406911
MIR125B2	microRNA 125b-2	21q21.1	406912
MIR126	microRNA 126	9q34.3	406913
MIR127	microRNA 127	14q32.2	406914
MIR128-1	microRNA 128-1	2q21.3	406915
MIR128-2	microRNA 128-2	3p22.3	406916
MIR129-1	microRNA 129-1	7q32.1	406917
MIR129-2	microRNA 129-2	11p11.2	406918
MIR130A	microRNA 130a	11q12.1	406919
MIR130AHG	MIR130A host gene	11q12.1	
MIR130B	microRNA 130b	22q11.21	406920
MIR132	microRNA 132	17p13.3	406921
MIR133A1	microRNA 133a-1	18q11.2	406922
MIR133A1HG	MIR133A1 host gene	18q11.2	102723167
MIR133A2	microRNA 133a-2	20q13.33	406923
MIR133B	microRNA 133b	6p12.2	442890
MIR134	microRNA 134	14q32.31	406924
MIR135A1	microRNA 135a-1	3p21.2	406925
MIR135A2	microRNA 135a-2	12q23.1	406926
MIR135B	microRNA 135b	1q32.1	442891
MIR136	microRNA 136	14q32.2	406927
MIR137	microRNA 137	1p21.3	406928
MIR137HG	MIR137 host gene	1p21.3	400765
MIR138-1	microRNA 138-1	3p21.32	406929
MIR138-2	microRNA 138-2	16q13	406930
MIR139	microRNA 139	11q13.4	406931
MIR140	microRNA 140	16q22.1	406932
MIR141	microRNA 141	12p13.31	406933
MIR142	microRNA 142	17q22	406934
MIR142HG	MIR142 host genes	17q22	
MIR143	microRNA 143	5q32	406935
MIR144	microRNA 144	17q11.2	406936
MIR145	microRNA 145	5q32	406937
MIR146A	microRNA 146a	5q33.3	406938
MIR146B	microRNA 146b	10q24.32	574447
MIR147A	microRNA 147a	9q33.2	406939
MIR147B	microRNA 147b	15q21.1	100126311
MIR148A	microRNA 148a	7p15.2	406940
MIR148B	microRNA 148b	12q13.13	442892
MIR149	microRNA 149	2q37.3	406941
MIR150	microRNA 150	19q13.33	406942
MIR151A	microRNA 151a	8q24.3	442893
MIR151B	microRNA 151b	14q32.2	100616247
MIR152	microRNA 152	17q21.32	406943
MIR153-1	microRNA 153-1	2q35	406944
MIR153-2	microRNA 153-2	7q36.3	406945
MIR154	microRNA 154	14q32.31	406946
MIR155	microRNA 155	21q21.3	406947
MIR155HG	MIR155 host gene	21q21.3	114614
MIR181A1	microRNA 181a-1	1q32.1	406995
MIR181A1HG	MIR181A1 host gene	1q32.1	100131234
MIR181A2	microRNA 181a-2	9q33.3	406954
MIR181A2HG	MIR181A2 host gene	9q33.3	100379345
MIR181B1	microRNA 181b-1	1q32.1	406955
MIR181B2	microRNA 181b-2	9q33.3	406956
MIR181C	microRNA 181c	19p13.12	406957
MIR181D	microRNA 181d	19p13.12	574457
MIR182	microRNA 182	7q32.2	406958
MIR183	microRNA 183	7q32.2	406959
MIR184	microRNA 184	15q25.1	406960
MIR185	microRNA 185	22q11.21	406961
MIR186	microRNA 186	1p31.1	406962
MIR187	microRNA 187	18q12.2	406963
MIR188	microRNA 188	Xp11.23	406964
MIR190A	microRNA 190a	15q22.2	406965
MIR190B	microRNA 190b	1q21.3	100126346
MIR191	microRNA 191	3p21.31	406966
MIR192	microRNA 192	11q13.1	406967
MIR193A	microRNA 193a	17q11.2	406968
MIR193B	microRNA 193b	16p13.12	574455
MIR193BHG	MIR193b-365a host gene	16p13.12	100129781
MIR194-1	microRNA 194-1	1q41	406969
MIR194-2	microRNA 194-2	11q13.1	406970
MIR194-2HG	MIR194-2 host gene	11q13.1	105369343
MIR195	microRNA 195	17p13.1	406971
MIR196A1	microRNA 196a-1	17q21.32	406972
MIR196A2	microRNA 196a-2	12q13.13	406973
MIR196B	microRNA 196b	7p15.2	442920
MIR197	microRNA 197	1p13.3	406974
MIR198	microRNA 198	3q13.33	406975
MIR199A1	microRNA 199a-1	19p13.2	406976
MIR199A2	microRNA 199a-2	1q24.3	406977
MIR199B	microRNA 199b	9q34.11	406978
MIR200A	microRNA 200a	1p36.33	406983
MIR200B	microRNA 200b	1p36.33	406984
MIR200C	microRNA 200c	12p13.31	406985
MIR200CHG	MIR200C and MIR141 host gene	12p13.31	105369635
MIR202	microRNA 202	10q26.3	574448
MIR202HG	MIR202 host gene	10q26.3	101927671
MIR203A	microRNA 203a	14q32.33	406986
MIR203B	microRNA 203b	14q32.33	100616173
MIR204	microRNA 204	9q21.12	406987
MIR205	microRNA 205	1q32.2	406988
MIR205HG	MIR205 host gene	1q32.2	642587
MIR206	microRNA 206	6p12.2	406989
MIR208A	microRNA 208a	14q11.2	406990
MIR208B	microRNA 208b	14q11.2	100126336
MIR210	microRNA 210	11p15.5	406992
MIR210HG	MIR210 host gene	11p15.5	100506211
MIR211	microRNA 211	15q13.3	406993
MIR212	microRNA 212	17p13.3	406994
MIR214	microRNA 214	1q24.3	406996
MIR215	microRNA 215	1q41	406997
MIR216A	microRNA 216a	2p16.1	406998
MIR216B	microRNA 216b	2p16.1	100126319
MIR217	microRNA 217	2p16.1	406999
MIR217HG	MIR217 host gene	2p16.1	
MIR218-1	microRNA 218-1	4p15.31	407000
MIR218-2	microRNA 218-2	5q34	407001
MIR219A1	microRNA 219a-1	6p21.32	407002
MIR219A2	microRNA 219a-2	9q34.11	407003
MIR219A2HG	MIR219A2 host gene	9q34.11	
MIR219B	microRNA 219b	9q34.11	100616335
MIR221	microRNA 221	Xp11.3	407006
MIR222	microRNA 222	Xp11.3	407007
MIR222HG	miR222/221 cluster host gene	Xp11.3	104457406
MIR223	microRNA 223	Xq12	407008
MIR223HG	MIR223 host gene	Xq12	
MIR224	microRNA 224	Xq28	407009
MIR296	microRNA 296	20q13.32	407022
MIR297	microRNA 297	4q25	100126354
MIR298	microRNA 298	20q13.32	100126296
MIR299	microRNA 299	14q32.31	407023
MIR300	microRNA 300	14q32.31	100126297
MIR301A	microRNA 301a	17q22	407027
MIR301B	microRNA 301b	22q11.21	100126318
MIR302A	microRNA 302a	4q25	407028
MIR302B	microRNA 302b	4q25	442894
MIR302C	microRNA 302c	4q25	442895
MIR302CHG	miR-302/367 cluster host gene	4q25	109864269
MIR302D	microRNA 302d	4q25	442896
MIR302E	microRNA 302e	11p15.4	100313774
MIR302F	microRNA 302f	18q12.1	100302131
MIR320A	microRNA 320a	8p21.3	407037
MIR320B1	microRNA 320b-1	1p13.1	100302117
MIR320B2	microRNA 320b-2	1q42.11	100313769
MIR320C1	microRNA 320c-1	18q11.2	100302135
MIR320C2	microRNA 320c-2	18q11.2	100302195
MIR320D1	microRNA 320d-1	13q14.11	100313896
MIR320D2	microRNA 320d-2	Xq27.1	100302169
MIR320E	microRNA 320e	19q13.32	100422913
MIR323A	microRNA 323a	14q32.31	442897
MIR323B	microRNA 323b	14q32.31	574410
MIR324	microRNA 324	17p13.1	442898
MIR325	microRNA 325	Xq21.1	442899
MIR325HG	MIR325 host gene	Xq13.3-q21.1	101928469
MIR326	microRNA 326	11q13.4	442900
MIR328	microRNA 328	16q22.1	442901
MIR329-1	microRNA 329-1	14q32.31	574408
MIR329-2	microRNA 329-2	14q32.31	574409
MIR330	microRNA 330	19q13.32	442902
MIR331	microRNA 331	12q22	442903
MIR335	microRNA 335	7q32.2	442904
MIR337	microRNA 337	14q32.2	442905
MIR338	microRNA 338	17q25.3	442906
MIR339	microRNA 339	7p22.3	442907
MIR340	microRNA 340	5q35.3	442908
MIR342	microRNA 342	14q32.2	442909
MIR345	microRNA 345	14q32.2	442910
MIR346	microRNA 346	10q23.2	442911
MIR361	microRNA 361	Xq21.2	494323
MIR362	microRNA 362	Xp11.23	574030
MIR363	microRNA 363	Xq26.2	574031
MIR365A	microRNA 365a	16p13.12	100126355
MIR365B	microRNA 365b	17q11.2	100126356
MIR365BHG	MIR365B and MIR4725 host gene	17q11.2	
MIR367	microRNA 367	4q25	442912
MIR369	microRNA 369	14q32.31	442914
MIR370	microRNA 370	14q32.31	442915
MIR371A	microRNA 371a	19q13.42	442916
MIR371B	microRNA 371b	19q13.42	100616185
MIR372	microRNA 372	19q13.42	442917
MIR373	microRNA 373	19q13.42	442918
MIR374A	microRNA 374a	Xq13.2	442919
MIR374B	microRNA 374b	Xq13.2	100126317
MIR374C	microRNA 374c	Xq13.2	100500807
MIR375	microRNA 375	2q35	494324
MIR376A1	microRNA 376a-1	14q32.31	494325
MIR376A2	microRNA 376a-2	14q32.31	664615
MIR376B	microRNA 376b	14q32.31	574435
MIR376C	microRNA 376c	14q32.31	442913
MIR377	microRNA 377	14q32.31	494326
MIR378A	microRNA 378a	5q32	494327
MIR378B	microRNA 378b	3p25.3	100422933
MIR378C	microRNA 378c	10q26.3	100422867
MIR378D1	microRNA 378d-1	4p16.2	100616201
MIR378D2	microRNA 378d-2	8q22.1	100616169
MIR378D2HG	MIR378D2 host gene	8q22.1	
MIR378E	microRNA 378e	5q35.1	100616498
MIR378F	microRNA 378f	1p36.11	100616492
MIR378G	microRNA 378g	1p21.3	100616321
MIR378H	microRNA 378h	5q33.2	100616306
MIR378I	microRNA 378i	22q13.2	100616259
MIR378J	microRNA 378j	17q12	102465136
MIR379	microRNA 379	14q32.31	494328
MIR380	microRNA 380	14q32.31	494329
MIR381	microRNA 381	14q32.31	494330
MIR381HG	MIR381 host gene	14q32.31	378881
MIR382	microRNA 382	14q32.31	494331
MIR383	microRNA 383	8p22	494332
MIR384	microRNA 384	Xq21.1	494333
MIR409	microRNA 409	14q32.31	574413
MIR410	microRNA 410	14q32.31	574434
MIR411	microRNA 411	14q32.31	693121
MIR412	microRNA 412	14q32.31	574433
MIR421	microRNA 421	Xq13.2	693122
MIR422A	microRNA 422a	15q22.31	494334
MIR423	microRNA 423	17q11.2	494335
MIR424	microRNA 424	Xq26.3	494336
MIR425	microRNA 425	3p21.31	494337
MIR429	microRNA 429	1p36.33	554210
MIR431	microRNA 431	14q32.2	574038
MIR432	microRNA 432	14q32.2	574451
MIR433	microRNA 433	14q32.2	574034
MIR448	microRNA 448	Xq23	554212
MIR449A	microRNA 449a	5q11.2	554213
MIR449B	microRNA 449b	5q11.2	693123
MIR449C	microRNA 449c	5q11.2	100313923
MIR450A1	microRNA 450a-1	Xq26.3	554214
MIR450A2	microRNA 450a-2	Xq26.3	574505
MIR450B	microRNA 450b	Xq26.3	100126302
MIR451A	microRNA 451a	17q11.2	574411
MIR451B	microRNA 451b	17q11.2	100616273
MIR452	microRNA 452	Xq28	574412
MIR454	microRNA 454	17q22	768216
MIR455	microRNA 455	9q32	619556
MIR466	microRNA 466	3p23	100423038
MIR483	microRNA 483	11p15.5	619552
MIR484	microRNA 484	16p13.11	619553
MIR485	microRNA 485	14q32.31	574436
MIR486-1	microRNA 486-1	8p11.21	619554
MIR486-2	microRNA 486-2	8p11.21	102465696
MIR487A	microRNA 487a	14q32.31	619555
MIR487B	microRNA 487b	14q32.31	664616
MIR488	microRNA 488	1q25.2	574441
MIR489	microRNA 489	7q21.3	574442
MIR490	microRNA 490	7q33	574443
MIR491	microRNA 491	9p21.3	574444
MIR492	microRNA 492	12q22	574449
MIR493	microRNA 493	14q32.2	574450
MIR493HG	MIR493 cluster host gene	14q32.31	
MIR494	microRNA 494	14q32.31	574452
MIR495	microRNA 495	14q32.31	574453
MIR496	microRNA 496	14q32.31	574454
MIR497	microRNA 497	17p13.1	574456
MIR497HG	mir-497-195 cluster host gene	17p13.1	100506755
MIR498	microRNA 498	19q13.42	574460
MIR499A	microRNA 499a	20q11.22	574501
MIR499B	microRNA 499b	20q11.22	100616134
MIR500A	microRNA 500a	Xp11.23	574502
MIR500B	microRNA 500b	Xp11.23	100422911
MIR501	microRNA 501	Xp11.23	574503
MIR502	microRNA 502	Xp11.23	574504
MIR503	microRNA 503	Xq26.3	574506
MIR503HG	MIR503 host gene	Xq26.3	84848
MIR504	microRNA 504	Xq26.3	574507
MIR505	microRNA 505	Xq27.1	574508
MIR506	microRNA 506	Xq27.3	574511
MIR507	microRNA 507	Xq27.3	574512
MIR508	microRNA 508	Xq27.3	574513
MIR509-1	microRNA 509-1	Xq27.3	574514
MIR509-2	microRNA 509-2	Xq27.3	100126301
MIR509-3	microRNA 509-3	Xq27.3	100126337
MIR510	microRNA 510	Xq27.3	574515
MIR511	microRNA 511	10p12.33	574445
MIR512-1	microRNA 512-1	19q13.42	574458
MIR512-2	microRNA 512-2	19q13.42	574459
MIR513A1	microRNA 513a-1	Xq27.3	574509
MIR513A2	microRNA 513a-2	Xq27.3	574510
MIR513B	microRNA 513b	Xq27.3	100313822
MIR513C	microRNA 513c	Xq27.3	100302114
MIR514A1	microRNA 514a-1	Xq27.3	574516
MIR514A2	microRNA 514a-2	Xq27.3	574517
MIR514A3	microRNA 514a-3	Xq27.3	574518
MIR514B	microRNA 514b	Xq27.3	100422847
MIR515-1	microRNA 515-1	19q13.42	574462
MIR515-2	microRNA 515-2	19q13.42	574465
MIR516A1	microRNA 516a-1	19q13.42	574498
MIR516A2	microRNA 516a-2	19q13.42	574499
MIR516B1	microRNA 516b-1	19q13.42	574490
MIR516B2	microRNA 516b-2	19q13.42	574485
MIR517A	microRNA 517a	19q13.42	574479
MIR517B	microRNA 517b	19q13.42	574483
MIR517C	microRNA 517c	19q13.42	574492
MIR518A1	microRNA 518a-1	19q13.42	574488
MIR518A2	microRNA 518a-2	19q13.42	574491
MIR518B	microRNA 518b	19q13.42	574474
MIR518C	microRNA 518c	19q13.42	574477
MIR518D	microRNA 518d	19q13.42	574489
MIR518E	microRNA 518e	19q13.42	574487
MIR518F	microRNA 518f	19q13.42	574472
MIR519A1	microRNA 519a-1	19q13.42	574496
MIR519A2	microRNA 519a-2	19q13.42	574500
MIR519B	microRNA 519b	19q13.42	574469
MIR519C	microRNA 519c	19q13.42	574466
MIR519D	microRNA 519d	19q13.42	574480
MIR519E	microRNA 519e	19q13.42	574463
MIR520A	microRNA 520a	19q13.42	574467
MIR520B	microRNA 520b	19q13.42	574473
MIR520C	microRNA 520c	19q13.42	574476
MIR520D	microRNA 520d	19q13.42	574482
MIR520E	microRNA 520e	19q13.42	574461
MIR520F	microRNA 520f	19q13.42	574464
MIR520G	microRNA 520g	19q13.42	574484
MIR520H	microRNA 520h	19q13.42	574493
MIR521-1	microRNA 521-1	19q13.42	574494
MIR521-2	microRNA 521-2	19q13.42	574481
MIR522	microRNA 522	19q13.42	574495
MIR523	microRNA 523	19q13.42	574471
MIR524	microRNA 524	19q13.42	574478
MIR525	microRNA 525	19q13.42	574470
MIR526A1	microRNA 526a-1	19q13.42	574475
MIR526A2	microRNA 526a-2	19q13.42	574486
MIR526B	microRNA 526b	19q13.42	574468
MIR527	microRNA 527	19q13.42	574497
MIR532	microRNA 532	Xp11.23	693124
MIR539	microRNA 539	14q32.31	664612
MIR541	microRNA 541	14q32.31	100126308
MIR542	microRNA 542	Xq26.3	664617
MIR543	microRNA 543	14q32.31	100126335
MIR544A	microRNA 544a	14q32.31	664613
MIR544B	microRNA 544b	3q21.2	100422864
MIR545	microRNA 545	Xq13.2	664614
MIR548A1	microRNA 548a-1	6p22.3	693125
MIR548A1HG	MIR548A1 host gene	6p22.3	105374956
MIR548A2	microRNA 548a-2	6q23.3	693126
MIR548A3	microRNA 548a-3	8q22.3	693127
MIR548AA1	microRNA 548aa-1	8q24.13	100500863
MIR548AA2	microRNA 548aa-2	17q24.2	100500895
MIR548AB	microRNA 548ab	3q13.11	100616336
MIR548AC	microRNA 548ac	1p13.1	100616384
MIR548AD	microRNA 548ad	2p22.3	100616475
MIR548AE1	microRNA 548ae-1	2q32.1	100616305
MIR548AE2	microRNA 548ae-2	5q11.2	100616339
MIR548AG1	microRNA 548ag-1	4q13.1	100616450
MIR548AG2	microRNA 548ag-2	20q13.33	100616440
MIR548AH	microRNA 548ah	4q21.1	100616254
MIR548AI	microRNA 548ai	6q16.2	100616347
MIR548AJ1	microRNA 548aj-1	6q23.2	100616191
MIR548AJ2	microRNA 548aj-2	Xp11.4	100616252
MIR548AK	microRNA 548ak	10p14	100616488
MIR548AL	microRNA 548al	11q13.4	100616215
MIR548AM	microRNA 548am	Xp22.2	100616428
MIR548AN	microRNA 548an	Xq22.3	100616144
MIR548AO	microRNA 548ao	8p11.21	100847068
MIR548AP	microRNA 548ap	15q25.3	100847084
MIR548AQ	microRNA 548aq	3q27.2	100847078
MIR548AR	microRNA 548ar	13q34	100847035
MIR548AS	microRNA 548as	13q31.3	100847092
MIR548AT	microRNA 548at	17q21.2	100847030
MIR548AU	microRNA 548au	9q22.31	100847045
MIR548AV	microRNA 548av	18q22.3	100847083
MIR548AW	microRNA 548aw	9q34.13	100846992
MIR548AX	microRNA 548ax	Xp22.2	100847063
MIR548AY	microRNA 548ay	3p22.3	102465247
MIR548AZ	microRNA 548az	8q24.12	102466162
MIR548B	microRNA 548b	6q22.31	693128
MIR548BA	microRNA 548ba	2p16.3	102465854
MIR548BB	microRNA 548bb	3p14.2	103504735
MIR548BC	microRNA 548BC	17q12	113839521
MIR548C	microRNA 548c	12q14.2	693129
MIR548D1	microRNA 548d-1	8q24.13	693130
MIR548D2	microRNA 548d-2	17q24.2	693131
MIR548E	microRNA 548e	10q25.2	100313921
MIR548F1	microRNA 548f-1	10q21.1	100302192
MIR548F2	microRNA 548f-2	2q34	100313771
MIR548F3	microRNA 548f-3	5q22.1	100302159
MIR548F4	microRNA 548f-4	7q35	100313895
MIR548F5	microRNA 548f-5	Xp21.1	100302239
MIR548G	microRNA 548g	4q31.22	100313938
MIR548H1	microRNA 548h-1	14q23.2	100313830
MIR548H2	microRNA 548h-2	16p13.13	100313773
MIR548H3	microRNA 548h-3	17p12	100302287
MIR548H4	microRNA 548h-4	8p21.2	100313884
MIR548H5	microRNA 548h-5	6q23.2	100616455
MIR548I1	microRNA 548i-1	3q21.2	100302204
MIR548I2	microRNA 548i-2	4p16.1	100302277
MIR548I3	microRNA 548i-3	8p23.1	100302186
MIR548I4	microRNA 548i-4	Xq21.1	100302191
MIR548J	microRNA 548j	22q12.1	100313914
MIR548K	microRNA 548k	11q13.3	100313770
MIR548L	microRNA 548l	11q21	100302275
MIR548M	microRNA 548m	Xq21.33	100313772
MIR548N	microRNA 548n	7p14.2	100302152
MIR548O	microRNA 548o	7q22.1	100313829
MIR548O2	microRNA 548o-2	20q11.23	100616190
MIR548P	microRNA 548p	5q21.1	100302288
MIR548Q	microRNA 548q	10p13	100313841
MIR548S	microRNA 548s	2p25.1	100422862
MIR548T	microRNA 548t	4q34.1	100422849
MIR548U	microRNA 548u	6p11.2	100422884
MIR548V	microRNA 548v	8p22	100422850
MIR548W	microRNA 548w	16p12.1	100422923
MIR548X	microRNA 548x	21q21.1	100422920
MIR548X2	microRNA 548x-2	13q21.32	100616302
MIR548XHG	MIR548X host gene	21q21.1	101927797
MIR548Y	microRNA 548y	14q21.3	100500919
MIR548Z	microRNA 548z	12q14.2	100500856
MIR549A	microRNA 549a	15q25.1	693132
MIR550A1	microRNA 550a-1	7p14.3	693133
MIR550A2	microRNA 550a-2	7p14.3	693134
MIR550A3	microRNA 550a-3	7p14.3	100616354
MIR550B1	microRNA 550b-1	7p14.3	100500883
MIR550B2	microRNA 550b-2	7p14.3	100500830
MIR551A	microRNA 551a	1p36.32	693135
MIR551B	microRNA 551b	3q26.2	693136
MIR552	microRNA 552	1p34.3	693137
MIR553	microRNA 553	1p21.2	693138
MIR554	microRNA 554	1q21.3	693139
MIR555	microRNA 555	1q22	693140
MIR556	microRNA 556	1q23.3	693141
MIR557	microRNA 557	1q24.2	693142
MIR558	microRNA 558	2p22.3	693143
MIR559	microRNA 559	2p21	693144
MIR561	microRNA 561	2q32.1	693146
MIR562	microRNA 562	2q37.1	693147
MIR563	microRNA 563	3p25.1	693148
MIR564	microRNA 564	3p21.31	693149
MIR567	microRNA 567	3q13.2	693152
MIR568	microRNA 568	3q13.31	693153
MIR569	microRNA 569	3q26.2	693154
MIR570	microRNA 570	3q29	693155
MIR570HG	MIR570 host gene	3q29	440993
MIR571	microRNA 571	4p16.3	693156
MIR572	microRNA 572	4p15.33	693157
MIR573	microRNA 573	4p15.2	693158
MIR574	microRNA 574	4p14	693159
MIR575	microRNA 575	4q21.22	693160
MIR576	microRNA 576	4q25	693161
MIR577	microRNA 577	4q26	693162
MIR578	microRNA 578	4q32.3	693163
MIR579	microRNA 579	5p13.3	693164
MIR580	microRNA 580	5p13.2	693165
MIR581	microRNA 581	5q11.2	693166
MIR582	microRNA 582	5q12.1	693167
MIR583	microRNA 583	5q15	693168
MIR583HG	MIR583 host gene	5q15	107984114
MIR584	microRNA 584	5q32	693169
MIR585	microRNA 585	5q35.1	693170
MIR586	microRNA 586	6p21.1	693171
MIR587	microRNA 587	6q21	693172
MIR588	microRNA 588	6q22.32	693173
MIR589	microRNA 589	7p22.1	693174
MIR590	microRNA 590	7q11.23	693175
MIR591	microRNA 591	7q21.3	693176
MIR592	microRNA 592	7q31.33	693177
MIR593	microRNA 593	7q32.1	693178
MIR595	microRNA 595	7q36.3	693180
MIR596	microRNA 596	8p23.3	693181
MIR597	microRNA 597	8p23.1	693182
MIR598	microRNA 598	8p23.1	693183
MIR599	microRNA 599	8q22.2	693184
MIR600	microRNA 600	9q33.3	693185
MIR600HG	MIR600 host gene	9q33.3	81571
MIR601	microRNA 601	9q33.3	693186
MIR602	microRNA 602	9q34.3	693187
MIR603	microRNA 603	10p12.2	693188
MIR604	microRNA 604	10p11.23	693189
MIR605	microRNA 605	10q21.1	693190
MIR606	microRNA 606	10q22.2	693191
MIR607	microRNA 607	10q24.1	693192
MIR608	microRNA 608	10q24.31	693193
MIR609	microRNA 609	10q25.1	693194
MIR610	microRNA 610	11p14.1	693195
MIR611	microRNA 611	11q12.2	693196
MIR612	microRNA 612	11q13.1	693197
MIR613	microRNA 613	12p13.1	693198
MIR614	microRNA 614	12p13.1	693199
MIR615	microRNA 615	12q13.13	693200
MIR616	microRNA 616	12q13.3	693201
MIR617	microRNA 617	12q21.31	693202
MIR618	microRNA 618	12q21.31	693203
MIR619	microRNA 619	12q24.11	693204
MIR620	microRNA 620	12q24.21	693205
MIR621	microRNA 621	13q14.11	693206
MIR622	microRNA 622	13q31.3	693207
MIR623	microRNA 623	13q32.3	693208
MIR624	microRNA 624	14q12	693209
MIR625	microRNA 625	14q23.3	693210
MIR626	microRNA 626	15q15.1	693211
MIR627	microRNA 627	15q15.1	693212
MIR628	microRNA 628	15q21.3	693213
MIR629	microRNA 629	15q23	693214
MIR630	microRNA 630	15q24.1	693215
MIR631	microRNA 631	15q24.2	693216
MIR632	microRNA 632	17q11.2	693217
MIR633	microRNA 633	17q23.2	693218
MIR634	microRNA 634	17q24.2	693219
MIR635	microRNA 635	17q24.2	693220
MIR636	microRNA 636	17q25.1	693221
MIR637	microRNA 637	19p13.3	693222
MIR638	microRNA 638	19p13.2	693223
